Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
Cetuximab,"Cetuximab | Cetuximab | Cetuximabum | Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer"
Dornase alfa,"Deoxyribonuclease (human clone 18-1 protein moiety) | Dornasa alfa | Dornase alfa, recombinant | Dornase alpha | Recombinant deoxyribonuclease (DNAse)|Pulmozyme 1 mg ml Solution 2.5ml Plastic Container|Pulmozyme 1 mg ml ampul|Lufyllin 400 mg tablet|Lufyllin-400 tablet|Lufyllin-GG 200-200 mg tablet|Lufyllin-gg tablet|Lufyllin 200 mg tablet|Lufyllin-GG 100-100 mg 15ml Elixir"
Denileukin diftitox,Denileukin | Interleukin-2/diptheria toxin fusion protein|Ontak 150 mcg ml vial
Etanercept,Etanercept | etanercept-szzs | etanercept-ykro | Recombinant human TNF | rhu TNFR:Fc | rhu-TNFR:Fc | TNFR-Immunoadhesin|Enbrel (1 Box = 1 Kit = Four 50 mg Syringes) 3.92ml Box|Enbrel SureClick (1 Box Contains Four 50 mg Prefilled Autoinjectors)|Enbrel 4 25 mg Kit (1 Box = 1 Kit = Four 25 mg Vials)|Enbrel 50 mg ml sureclick syr|Enbrel 25 mg kit
Bivalirudin,Bivalirudin | Bivalirudina | Bivalirudinum|Angiomax 250 mg vial
Leuprolide,Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum|Eligard 45 mg syringe|Eligard 30 mg syringe|Eligard 22.5 mg syringe|Lupron 2-wk 1 mg 0.2 ml kit|Eligard 7.5 mg syringe|Leuprolide Acetate 1 mg 0.2ml Kit 2.8ml 2-Week Kit|Leuprolide 2wk 1 mg 0.2 ml kit
Peginterferon alfa-2a,PEG-IFN alfa-2A | PEG-Interferon alfa-2A | Peginterferon alfa-2a | Pegylated Interfeaon alfa-2A | Pegylated interferon alfa-2a | Pegylated interferon alpha-2a | Pegylated-interferon alfa 2a|Pegasys (1 Kit = Four 180 mcg ml Vials Prefilled Syringes) Box|Pegasys 180 mcg 0.5 ml conv.pk|Pegasys 180 mcg ml vial
Alteplase,"Alteplasa | Alteplase (genetical recombination) | Alteplase, recombinant | Alteplase,recombinant | Plasminogen activator (human tissue-type protein moiety) | rt-PA | t-PA | t-plasminogen activator | Tissue plasminogen activator | Tissue plasminogen activator alteplase | Tissue plasminogen activator, recombinant | tPA|Activase 100 mg vial|Activase 50 mg vial|Cathflo activase 2 mg vial"
Sermorelin,
Interferon alfa-n1,Interferon alpha-n1 (INS)
Darbepoetin alfa,"Darbepoetin | Darbepoetin alfa,recombinant | Darbepoetina alfa|Aranesp (Albumin Free) 150 mcg 0.75ml Solution (1 Box = Four 0.75ml Vials)|Aranesp (Albumin Free) 100 mcg 0.5ml Solution (1 Box = Four 0.5ml Syringes)|Aranesp (Albumin Free) 100 mcg ml Solution Four 1ml Vials Per Box|Aranesp (Albumin Free) 300 mcg ml vial|Aranesp 300 mcg ml vial|Aranesp 200 mcg ml vial|Aranesp 100 mcg ml vial|Aranesp (Albumin Free) 60 mcg ml vial|Aranesp 60 mcg ml vial|Aranesp 40 mcg ml vial|Aranesp (Albumin Free) 25 mcg ml vial|Aranesp 25 mcg ml vial"
Urokinase,"Kinase (enzyme-activating), uro-urokinase | TCUK | Tissue culture urokinase | Two-chain urokinase | Urochinasi | Urokinase | Urokinasum | Uroquinasa"
Goserelin,Goserelin | Goserelina|Zoladex 10.8 mg implant syringe|Zoladex 3.6 mg implant syringe
Reteplase,"Human t-PA (residues 1-3 and 176-527) | Reteplasa | Reteplase, recombinant | Reteplase,recombinant|Retavase vial half-kit"
